epoch,acc,loss,lr,val_acc,val_loss
0,0.175272174191,3.89292839212,0.001,0.2644,3.33497142906
1,0.286663464617,3.20565777072,0.001,0.3465,2.90735252838
2,0.333753602305,2.96060144783,0.001,0.3585,2.88904035988
3,0.36845581172,2.79974596736,0.001,0.3864,2.74531209335
